COUNTRY,Man,Woman,Prefer_not_to_answer,Non_Binary,TOTAL_COUNT
USA,4174,17796,363,590,22923
"United Kingdom",397,888,20,49,1354
Canada,289,1289,34,56,1668
Scotland,12,32,0,2,46
"The Netherlands",45,43,1,0,89
Australia,65,323,7,8,403
Spain,21,21,3,1,46
England,33,128,2,7,170
Finland,3,13,0,0,16
France,27,35,2,1,65
Germany,86,97,2,6,191
Ireland,28,93,3,3,127
India,11,6,0,0,17
Argentina,3,3,0,0,6
"Great Britain",1,5,0,0,6
Denmark,8,15,0,0,23
Switzerland,10,25,1,2,38
Bermuda,0,2,0,0,2
Malaysia,7,5,0,1,13
Mexico,1,7,0,0,8
"South Africa",8,8,1,0,17
Belgium,9,26,0,0,35
Sweden,9,30,1,1,41
"Hong Kong",0,5,0,0,5
Kuwait,0,1,0,0,1
Norway,3,11,0,0,14
"Sri lanka",0,2,0,0,2
Greece,1,4,0,0,5
Japan,5,21,1,1,28
Brazil,8,4,0,0,12
Global,0,1,0,0,1
Hungary,1,1,0,0,2
Luxembourg,0,2,0,0,2
Colombia,2,0,0,0,2
"New Zealand",28,87,3,5,123
"Trinidad and Tobago",0,1,0,0,1
"Czech Republic",3,3,0,0,6
Latvia,2,2,0,0,4
"Puerto Rico",1,3,0,0,4
Rwanda,0,1,0,0,1
"United Arab Emirates",0,2,0,0,2
Bangladesh,0,2,0,0,2
Romania,1,2,0,0,3
Serbia,0,1,0,0,1
Philippines,0,6,2,1,9
Russia,0,1,0,0,1
Poland,4,4,0,0,8
Turkey,0,1,0,0,1
Catalonia,1,0,0,0,1
Italy,6,8,0,1,15
China,2,6,0,0,8
Virginia,0,1,0,0,1
Afghanistan,0,1,0,0,1
Hartford,0,1,0,0,1
I.S.,0,2,0,0,2
NZ,2,3,1,0,6
Taiwan,1,2,0,0,3
Cambodia,0,1,0,0,1
Vietnam,1,1,0,0,2
"Not Provided",3,4,1,0,8
Singapore,8,7,1,0,16
"South Korea",1,3,1,0,5
Thailand,2,4,0,0,6
Lithuania,1,1,0,0,2
Eritrea,1,0,0,0,1
Indonesia,1,1,0,0,2
Cuba,1,0,0,0,1
Slovenia,1,1,0,0,2
"Côte d'Ivoire",0,1,0,0,1
Somalia,0,1,0,0,1
NL,0,1,0,0,1
Slovakia,1,0,0,0,1
Portugal,5,0,0,0,5
"Sierra Leone",0,1,0,0,1
"The Bahamas",0,1,0,0,1
Wales,2,2,0,0,4
"Costa Rica",1,0,0,0,1
Chile,0,1,0,0,1
Nigeria,1,0,0,0,1
Congo,0,1,0,0,1
Uruguay,1,0,0,0,1
Pakistan,2,3,0,0,5
Uganda,0,1,0,0,1
Malta,1,0,0,0,1
"Saudi Arabia",1,0,0,0,1
Bulgaria,1,1,0,0,2
Estonia,0,2,0,0,2
Morocco,0,1,0,0,1
Africa,0,1,0,0,1
Ecuador,2,1,0,0,3
Zimbabwe,1,0,1,0,2
Ghana,1,1,0,0,2
"San Francisco",0,1,0,0,1
Luxemburg,1,0,0,0,1
Croatia,1,1,0,0,2
Y,0,1,0,0,1
Europe,0,1,0,0,1
California,0,1,0,0,1
Jamaica,0,1,0,0,1
Kenya,0,2,0,0,2
Jordan,0,1,0,0,1
Liechtenstein,1,0,0,0,1
Bosnia,0,1,0,0,1
