WORK_IN_COUNTRY,COUNT(WORK_IN_COUNTRY)
USA,22923
Canada,1668
"United Kingdom",1354
Australia,403
Germany,191
England,170
Ireland,127
"New Zealand",123
"The Netherlands",89
France,65
Scotland,46
Spain,46
Sweden,41
Switzerland,38
Belgium,35
Japan,28
Denmark,23
India,17
"South Africa",17
Finland,16
Singapore,16
Italy,15
Norway,14
Malaysia,13
Brazil,12
Philippines,9
Mexico,8
Poland,8
China,8
"Not Provided",8
Argentina,6
"Great Britain",6
"Czech Republic",6
NZ,6
Thailand,6
"Hong Kong",5
Greece,5
"South Korea",5
Portugal,5
Pakistan,5
Latvia,4
"Puerto Rico",4
Wales,4
Romania,3
Taiwan,3
Ecuador,3
Bermuda,2
"Sri lanka",2
Hungary,2
Luxembourg,2
Colombia,2
"United Arab Emirates",2
Bangladesh,2
I.S.,2
Vietnam,2
Lithuania,2
Indonesia,2
Slovenia,2
Bulgaria,2
Estonia,2
Zimbabwe,2
Ghana,2
Croatia,2
Kenya,2
Kuwait,1
Global,1
"Trinidad and Tobago",1
Rwanda,1
Serbia,1
Russia,1
Turkey,1
Catalonia,1
Virginia,1
Afghanistan,1
Hartford,1
Cambodia,1
Eritrea,1
Cuba,1
"Côte d'Ivoire",1
Somalia,1
NL,1
Slovakia,1
"Sierra Leone",1
"The Bahamas",1
"Costa Rica",1
Chile,1
Nigeria,1
Congo,1
Uruguay,1
Uganda,1
Malta,1
"Saudi Arabia",1
Morocco,1
Africa,1
"San Francisco",1
Luxemburg,1
Y,1
Europe,1
California,1
Jamaica,1
Jordan,1
Liechtenstein,1
Bosnia,1
